syllabe,nb_prefix,nb_suffix,sound
aient,0,13252,é
sions,0,7827,ion
rions,0,7320,ion
ssiez,0,6903,é
ssent,0,6815,is
èrent,0,6051,ère
erons,0,6050,on
eriez,0,6032,é
erait,0,5980,é
erais,0,5964,é
eront,0,5963,on
tions,0,2662,ion
ement,0,2177,en
contr,1663,0,con
trans,1534,0,tran
iques,0,1517,ic
ation,0,1356,ion
désen,1303,0,en
euses,0,1215,euz
ments,0,1177,en
antes,0,1149,ente
inter,1147,0,ère
serez,0,910,ré
serai,0,908,é
seras,0,908,ra
terez,0,886,ré
terai,0,881,ré
teras,0,881,ra
entre,856,0,tre
lions,0,833,ion
nions,0,824,ion
lerez,0,773,ré
lerai,0,767,ré
leras,0,767,ra
nasse,0,749,asse
nerez,0,744,ré
sous-,740,0,sou
neras,0,739,ra
nerai,0,738,ré
ismes,0,734,me
ables,0,721,bl
teurs,0,707,teur
isons,0,668,on
isses,0,665,is
aires,0,663,ère
istes,0,639,te
isant,0,610,en
décon,606,0,dé
isiez,0,599,é
isais,0,597,é
isait,0,597,é
irent,0,594,ir
isent,0,582,is
rasse,0,571,as
ssons,0,563,on
ssant,0,548,en
rerez,0,544,ré
isera,0,544,ra
ssait,0,542,cé
isées,0,542,zé
ssais,0,541,cé
rerai,0,540,ré
reras,0,539,ra
débou,537,0,dé
désin,533,0,dé
ettes,0,533,ette
elles,0,511,elle
tique,0,487,ic
irons,0,486,on
ières,0,485,ère
ennes,0,484,ène
iriez,0,479,ié
irait,0,470,ré
irais,0,469,ré
recon,454,0,re
illes,0,440,ille
iront,0,433,on
eries,0,428,i
issez,0,407,cé
ienne,0,399,ène
uions,0,398,ion
rices,0,394,is
uerez,0,391,ré
uerai,0,388,ré
ierez,0,388,ré
trice,0,388,is
désem,387,0,dé
ueras,0,387,ra
uasse,0,386,as
ierai,0,384,ré
ieras,0,384,ra
onnes,0,376,ne
nnent,0,368,ne
décha,362,0,dé
llons,0,362,on
llent,0,356,l
dépar,355,0,dé
lités,0,355,té
retra,352,0,ra
ateur,0,348,teur
radio,345,0,o
llera,0,345,ra
chant,147,196,ch
décou,338,0,dé
nnais,0,336,né
nnons,0,335,on
tourn,334,0,
nnant,0,334,
nniez,0,334,
nnait,0,332,
nnera,0,332,
dions,0,331,
élect,328,0,
const,325,0,
onner,0,321,
onnez,0,321,
embou,320,0,
onnai,0,318,
onnas,0,318,
onnât,0,318,
tives,0,311,
compl,305,0,
nnées,0,301,
accou,299,0,
lliez,0,297,
iions,0,296,
llant,0,294,
llais,0,293,
décap,292,0,
iasse,0,291,
llait,0,290,
recou,284,0,
confi,281,0,
recom,281,0,
onnée,0,281,
onnés,0,279,
entes,0,275,
recha,274,0,
derez,0,266,
dasse,0,261,
derai,0,258,
deras,0,258,
illez,0,251,
sants,0,250,
extra,249,0,
iller,0,249,
sante,0,247,
encha,244,0,
commu,243,0,
racco,243,0,
décom,242,0,
llées,0,242,
compa,241,0,
conte,241,0,
illas,0,240,
désac,238,0,
ances,0,237,
illai,0,236,
décar,235,0,
illât,0,235,
déver,231,0,
resse,228,0,
conce,227,0,
appro,225,0,
embra,225,0,
ences,0,223,
super,221,0,
paill,220,0,
suppl,220,0,
hydro,219,0,
hions,0,219,
chons,0,216,
tages,0,215,
ogies,0,215,
lages,0,215,
inent,0,214,
décal,213,0,
comme,212,0,
ressa,212,0,
inées,0,212,
logie,0,211,
ilité,0,210,
colle,209,0,
repro,209,0,
inait,0,209,
inons,0,209,
décol,208,0,
désor,208,0,
inera,0,208,
iniez,0,208,
désar,206,0,
geons,0,206,
gions,0,206,
seurs,0,205,
inais,0,205,
inant,0,205,
hasse,0,205,
débar,204,0,
désap,204,0,
disco,204,0,
appar,203,0,
conve,203,0,
rempl,203,0,
embar,201,0,
quent,0,200,
heras,0,200,
affou,199,0,
rappr,199,0,
réimp,199,0,
herai,0,199,
herez,0,199,
décro,198,0,
ssera,0,198,
geait,0,198,
gerez,0,198,
quant,0,197,
geant,0,197,
conso,196,0,
dépla,196,0,
chiez,0,196,
geais,0,196,
parti,195,0,
quais,0,195,
urent,0,195,
easse,0,195,
gerai,0,195,
geras,0,195,
dégou,194,0,
dessa,194,0,
quait,0,194,
quiez,0,194,
quons,0,194,
chent,0,194,
illée,0,194,
chais,0,193,
dépol,192,0,
insti,192,0,
psych,192,0,
chait,0,192,
chera,0,192,
illés,0,192,
nique,0,192,
quera,0,191,
oires,0,191,
rique,0,191,
lises,0,190,
compr,188,0,
press,188,0,
tures,0,188,
conta,187,0,
laire,0,187,
déchi,177,0,
décla,177,0,
entra,177,0,
photo,177,0,
circo,176,0,
échan,176,0,
aigui,175,0,
empoi,175,0,
débra,174,0,
décor,174,0,
démar,172,0,
renve,170,0,
corro,169,0,
échau,169,0,
mouch,169,0,
dégra,168,0,
embro,168,0,
rembo,168,0,
défou,166,0,
défri,166,0,
convo,165,0,
dénat,164,0,
déval,164,0,
desso,163,0,
apost,162,0,
affri,161,0,
détro,161,0,
capit,160,0,
déman,160,0,
détra,160,0,
décri,159,0,
palan,159,0,
resso,159,0,
caill,158,0,
démou,158,0,
désam,158,0,
allég,157,0,
compo,156,0,
desse,156,0,
rempo,156,0,
techn,156,0,
bourr,154,0,
rever,154,0,
court,153,0,
repar,153,0,
décré,152,0,
multi,150,0,
rétro,149,0,
démon,148,0,
feuil,148,0,
ressu,148,0,
centr,147,0,
déter,147,0,
rengr,147,0,
conti,146,0,
explo,146,0,
souff,146,0,
tuber,146,0,
plast,145,0,
conse,144,0,
assou,142,0,
chlor,141,0,
défer,141,0,
passe,141,0,
ratio,141,0,
délai,139,0,
franc,139,0,
quadr,138,0,
atten,137,0,
chape,137,0,
confo,137,0,
consi,137,0,
persi,137,0,
prédi,137,0,
diver,136,0,
esqui,136,0,
chamb,135,0,
dépou,135,0,
engou,135,0,
guill,135,0,
vermi,135,0,
attri,134,0,
conco,134,0,
traîn,134,0,
crach,133,0,
marmo,133,0,
révol,133,0,
archi,132,0,
bouch,132,0,
accom,131,0,
débro,131,0,
discu,131,0,
magné,131,0,
chevr,130,0,
craqu,130,0,
reten,130,0,
